,Bedroom,HoldType,HomeType,Price,NewBuilding,latitude,longitude
8139,2,2,2,137000.0,0,51.12701605,-2.725933807
8140,2,2,3,148500.0,0,51.12701605,-2.725933807
8141,4,2,4,320000.0,0,51.12524636,-2.745654177
8142,5,2,4,273000.0,0,51.12524636,-2.745654177
8143,3,2,3,183000.0,0,51.13025844,-2.743705585
8144,3,2,3,171500.0,0,51.13025844,-2.743705585
8145,4,2,4,240000.0,0,51.13025844,-2.743705585
8146,3,2,2,169950.0,0,51.13025844,-2.743705585
8147,3,2,3,177500.0,0,51.13025844,-2.743705585
8148,1,1,1,60000.0,0,51.126149,-2.748617
8149,4,2,2,242995.0,1,51.126149,-2.748617
8150,4,2,2,230000.0,1,51.126149,-2.748617
8151,3,2,3,215000.0,0,51.11399352,-2.7462158619999997
8152,3,2,3,217000.0,0,51.11399352,-2.7462158619999997
8153,3,2,3,175000.0,0,51.11399352,-2.7462158619999997
8154,4,2,4,285000.0,0,51.11399352,-2.7462158619999997
8155,2,2,3,189950.0,0,51.11399352,-2.7462158619999997
8156,2,2,3,180500.0,0,51.11399352,-2.7462158619999997
8157,3,2,3,209000.0,0,51.11399352,-2.7462158619999997
8158,3,2,3,210000.0,0,51.11399352,-2.7462158619999997
8159,3,2,3,215000.0,0,51.11399352,-2.7462158619999997
8160,2,2,3,165000.0,0,51.11399352,-2.7462158619999997
8161,4,2,3,215000.0,0,51.11399352,-2.7462158619999997
8162,2,2,3,190000.0,0,51.12014823,-2.7441718539999997
8163,3,2,3,260000.0,0,51.12014823,-2.7441718539999997
